Daily data of meteorological variables monitored at the IAG Meteorological Station in Sao Paulo (WMO station #83004), except for the variables pblh.m. and ustar.m.s., from the ERA5 reanalysis.
List of variables
data: yyyy-mm-dd
m: month
pblh.m.: planetary boundary layer height at 12:00 local time (m)
ustar.m.s.: friction velocity at 12:00 local time(m/s)
VelocVento: wind velocity, daily mean (m/s)
DirVento: wind direction, daily mean
Insolacao: number of hours of solar radiation (hours)
Irradiacao: global radiation, daily accumulation (W/m2)
Precipitacao: precipitation, daily accumulation (mm/day)
PressaoMED: atmospheric pressure near surface, daily mean (mbar)
TempMED: air temperature near surface, daily mean (degC)
TempMAX: air temperature near surface, daily maximum (degC)
UR: relative humidity, daily mean (%)
pwv: total column water vapour at 12:00 local time (kg m-2)  
data,m,pblh.m.,ustar.m.s.,VelocVento,DirVento,Insolacao,Irradiacao,Precipitacao,PressaoMED,TempMED,TempMAX,UR,pwv
2015-02-27,2,935.951997653897,0.218819869454169,4.45833333333333,WNW,3.1,19.4674502165089,0,922.400692997904,23.8791666666667,32.1,73.5833333333333,35.7084221195735
2015-02-28,2,1076.37607645747,0.301764172770815,5.41666666666667,SSE,2.8,10.0498972126659,30.6,925.518130911903,20.8916666666667,25.8,88.5,36.358453679099
2015-03-01,3,1035.24744911806,0.364856713585147,6.58333333333333,E,5.3,17.8795854491072,2.1,927.991283319821,20.5,25.6,83.1666666666667,22.678541433194
2015-03-02,3,1165.75326634925,0.19466200577937,6.875,ENE,9.4,25.4654088905991,0,927.507524004265,21.4375,29,75.625,18.9886790430515
2015-03-03,3,1312.19149011082,0.051039565195971,6.25,E,6.9,21.8509205389265,0,926.381047594191,22.1208333333333,29.1,79.3333333333333,22.0048408737213
2015-03-04,3,1138.05209210555,0.0957710233615349,4.25,NE,8.2,22.5422028748549,0,925.941651482822,22.2458333333333,28.7,81.1666666666667,28.8026546309141
2015-03-05,3,1171.04526256932,0.142767540525343,3.58333333333333,SSE,9.9,23.4668895344304,0,924.446242351216,23.55,32.4,77.4166666666667,30.1462071319819
2015-03-06,3,1352.92519235919,0.210993108813107,4.75,SSE,3.9,15.5625599938399,14.5,923.818963348125,22.5166666666667,29.6,83.75,38.5900747554214
2015-03-07,3,686.460892276165,0.144695191467682,3.58333333333333,ENE,0.5,7.90202861461013,34.8,923.65397045107,20.8,26.1,93.5,45.114829074199
2015-03-08,3,758.427527439621,0.187396670018214,2.79166666666667,ENE,0.4,10.6279745840806,10.4,923.345538304308,21.6458333333333,25,89.7916666666667,45.0474782613411
2015-03-09,3,714.50057374076,0.218750728459107,5.16666666666667,NW,0,10.2314382647651,2,922.180018118668,21.5458333333333,25,87.25,44.3087360597371
2015-03-10,3,953.791328195355,0.337747912241085,6.04166666666667,NW,4.1,16.848080939986,0.4,920.941110265362,22.4333333333333,27.4,82.6666666666667,36.3492169961927
2015-03-11,3,1201.10470378529,0.386298718973895,6.79166666666667,NW,7,19.7180686873168,3.9,920.872025715457,22.725,28.9,84.4166666666667,33.3880904011725
2015-03-12,3,943.433007235799,0.21548450785236,3.79166666666667,ENE,3.4,14.1800004724598,2.4,922.436584482726,21.6708333333333,27.9,84.625,35.7669211113129
2015-03-13,3,990.948137476205,0.202093279928676,3.29166666666667,NNE,4.4,14.7924441049075,13.4,923.767305402772,21.4666666666667,28.2,87.7083333333333,41.9123941382537
2015-03-14,3,785.022911428374,0.0668839156244683,2.16666666666667,ENE,2.2,14.1605748666757,7.3,924.638699755603,21.6333333333333,27.5,88.4166666666667,43.5082235411977
2015-03-15,3,1149.33566613557,0.245710185253834,2.70833333333333,NE,0.5,9.56933389431554,1.3,924.884155474551,21.5666666666667,27.2,90.75,42.8008475752961
2015-03-16,3,1291.66666895022,0.113017553169897,3.5,NE,2.2,12.5886967501787,38.4,924.571940722774,21.1125,30.5,87.75,37.2274715958595
2015-03-17,3,865.012167727172,0.181881984252038,4.45833333333333,ENE,2.4,13.5875671106534,0.3,925.485665413094,20.95,27,85.625,35.5920014287763
2015-03-18,3,544.931023217648,0.16940618310298,4.54166666666667,ENE,0,11.098342747447,0.2,926.853605408776,21.0666666666667,25.3,83.8333333333333,37.8345910660498
2015-03-19,3,773.141307974765,0.0551105869852445,3.41666666666667,ESE,1.2,10.9352928479017,27.7,926.729087722338,20.5708333333333,26,88.9166666666667,39.7298429398706
2015-03-20,3,1083.06723585727,0.143127073699667,3.33333333333333,ENE,4.6,14.4081869662792,24.3,924.088303945473,20.5125,27,89.125,37.7366437410651
2015-03-21,3,1266.93307467642,0.251529091398285,2.83333333333333,W,0.9,12.464723634549,6.1,922.138502524727,20.4833333333333,25.8,89.0833333333333,38.2985419511937
2015-03-22,3,534.26804575928,0.177669914832837,5.70833333333333,W,0.1,10.4469580996834,1.1,923.256700885617,19.5583333333333,23.2,88.375,35.5869982255354
2015-03-23,3,703.544223357613,0.244142067485819,5.625,E,2,13.4485905876238,0,927.408638844714,19.4833333333333,23.4,83.5416666666667,27.3267096748572
2015-03-24,3,1076.28580786523,0.249410611309573,6,ESE,6.3,18.4501090343349,0,929.581415348297,19.7416666666667,25.4,82.25,22.7068287745943
