"y","m","d","Diadema","Maua","Osasco","PDPedro","SAmaro","Caetano","Taboao","SBernPaulic","Cerqueira","Congonhas","Parelheiros","Senhora"
2005,1,1,42.9166666666667,43.4583333333333,66.9523809523809,48.8333333333333,48.2,35.9166666666667,NA,31.7916666666667,33.8333333333333,61.3809523809524,NA,NA
2005,1,2,33.1666666666667,32.2916666666667,41,28.375,44.4545454545455,26.7916666666667,NA,24.25,29.75,43.2916666666667,NA,NA
2005,1,3,30.625,26.125,41.7083333333333,23.5833333333333,36.6666666666667,21.2083333333333,NA,21.0833333333333,21.6666666666667,38.875,NA,NA
2005,1,4,24.5833333333333,17.6666666666667,37.4347826086956,35,27.9090909090909,19.7083333333333,NA,15.8333333333333,19.6,25.625,NA,NA
2005,1,5,22.7083333333333,21.125,30.75,NA,22.6666666666667,16.6666666666667,NA,16.2916666666667,NA,29.125,NA,NA
2005,1,6,35.125,27.0833333333333,46.9583333333333,NA,38.5,24.8333333333333,NA,28.2083333333333,30,42.8333333333333,NA,NA
2005,1,7,33.875,35.2083333333333,45.6666666666667,NA,43.9090909090909,30.5833333333333,NA,27.3333333333333,23.9166666666667,44.5,NA,NA
2005,1,8,35.875,39.4583333333333,56.5833333333333,NA,80.0909090909091,32.1666666666667,NA,29.5,26.75,54.0454545454545,NA,NA
2005,1,9,37.875,40.375,47.4583333333333,NA,67.625,24.625,NA,26.875,21.5,48.1818181818182,NA,NA
2005,1,10,41.0416666666667,40.7083333333333,63.7391304347826,NA,57.75,25.2083333333333,NA,28.0833333333333,24.4583333333333,55.2083333333333,NA,NA
2005,1,11,26.75,22.3333333333333,47.6363636363636,NA,31.8888888888889,21.875,NA,22.4583333333333,18.7916666666667,47.75,NA,NA
2005,1,12,30.2916666666667,26.4166666666667,40.5833333333333,NA,27.7727272727273,27.3333333333333,NA,24.7083333333333,23.0416666666667,47.7916666666667,NA,NA
2005,1,13,39.125,29.6666666666667,50.0416666666667,NA,40.75,29.1666666666667,NA,30.8333333333333,30.5833333333333,54.375,NA,NA
2005,1,14,41.3333333333333,35.25,66.0869565217391,NA,47.7083333333333,30.7083333333333,NA,32.875,34.875,59.875,NA,NA
2005,1,15,35.75,36.4166666666667,60,NA,49.0454545454545,25.4583333333333,NA,26.8333333333333,28.8571428571429,39.7916666666667,NA,NA
2005,1,16,24.0833333333333,24.3913043478261,41.7619047619048,NA,40.05,15.6666666666667,NA,21.2173913043478,NA,44.9166666666667,NA,NA
2005,1,17,33.9583333333333,25.375,49.5,NA,32.5416666666667,27.5,NA,29.9166666666667,NA,56.4583333333333,NA,NA
2005,1,18,33.4583333333333,26.1666666666667,50.1304347826087,NA,35,26.7083333333333,NA,29.5833333333333,NA,54.4166666666667,NA,NA
2005,1,19,29.7083333333333,27.7916666666667,41.375,NA,21.4166666666667,18.75,NA,23,47,32.5833333333333,NA,NA
2005,1,20,25.3333333333333,24.5,42.5217391304348,NA,21.25,19.4583333333333,NA,16.625,34.125,40.5416666666667,NA,NA
2005,1,21,24.75,26.5,44.3181818181818,NA,24.4736842105263,23.1666666666667,NA,24.0833333333333,24.4583333333333,44.8333333333333,NA,NA
2005,1,22,32.375,37.4583333333333,49.0454545454545,NA,38.1363636363636,29.2083333333333,NA,27.7083333333333,28.7916666666667,53.1904761904762,NA,NA
2005,1,23,44.4166666666667,37.1666666666667,71.0416666666667,NA,51.6521739130435,29,NA,32.7916666666667,34.5,56.5,NA,NA
2005,1,24,44.6666666666667,33.5,69.7916666666667,NA,49.8260869565217,33.8333333333333,NA,36.75,35.2916666666667,62.6521739130435,NA,NA
2005,1,25,31.3636363636364,25.3478260869565,53.1739130434783,NA,23.6521739130435,20.6666666666667,NA,19.9130434782609,18.9583333333333,45.125,NA,NA
2005,1,26,24.875,14.9583333333333,44.0416666666667,NA,18.875,18.3333333333333,NA,17.7083333333333,21.3333333333333,45.3333333333333,NA,NA
2005,1,27,32.2916666666667,24.8333333333333,58.4166666666667,NA,30.9166666666667,24.875,NA,25.125,33.2083333333333,41.625,NA,NA
2005,1,28,36.25,31.0416666666667,60.695652173913,NA,34.4166666666667,26.125,NA,27.8333333333333,34.5833333333333,46.6666666666667,NA,NA
2005,1,29,29.9583333333333,28.625,55.2916666666667,NA,30.3333333333333,26.5416666666667,NA,27.7916666666667,29.375,42.4166666666667,NA,NA
2005,1,30,25.7916666666667,30.7083333333333,41.375,NA,30.6818181818182,22.25,NA,26.625,27.3333333333333,52.9090909090909,NA,NA
2005,1,31,24.4583333333333,24.6666666666667,39.5416666666667,NA,29.6818181818182,18.1666666666667,NA,23.7083333333333,25.1666666666667,49.5,NA,NA
2005,2,1,18.5833333333333,16.25,33.8695652173913,NA,19.1363636363636,13.5416666666667,NA,17,16.3333333333333,43.7083333333333,NA,NA
2005,2,2,16.4166666666667,16.2083333333333,35.4761904761905,NA,14,13.3333333333333,NA,16.625,15.7916666666667,42.5833333333333,NA,NA
2005,2,3,20.5416666666667,11.4545454545455,32.375,NA,15.3913043478261,13.7916666666667,NA,18.625,15.0416666666667,48.3333333333333,NA,NA
2005,2,4,22.25,19.6666666666667,26.8333333333333,NA,16.6086956521739,18.125,NA,22.25,19.625,56.0833333333333,NA,NA
2005,2,5,20.7916666666667,18.6666666666667,26.7083333333333,NA,19.2608695652174,18.5416666666667,NA,20.7083333333333,19.2083333333333,41.5833333333333,NA,NA
2005,2,6,27.875,16.9583333333333,26.7916666666667,NA,19.375,16.7916666666667,NA,23.4782608695652,18.375,29.375,NA,NA
