"y","m","d","Diadema","Ibirapuera","Maua","PDPedro","SAmaro","Pinheiros","Santana","Caetano","Itaquera","Ipen","Parelheiros","Senhora"
2005,3,2,20.8571428571429,19.7142857142857,21.125,NA,25.125,8.28571428571429,NA,21.25,NA,NA,NA,13
2005,3,3,19.375,16.125,16.25,NA,25.25,6.42857142857143,NA,19.5,NA,NA,NA,12.5714285714286
2005,3,4,24.625,41.625,28.125,NA,41.375,13.625,NA,31,NA,NA,NA,25.25
2005,3,5,43.125,47,36.75,NA,47.875,19.25,NA,42.75,NA,NA,NA,28.625
2005,3,6,31.375,36.875,24.625,NA,37.875,14,NA,33.75,NA,NA,NA,33.625
2005,3,7,81.125,119.75,51.875,NA,139.25,55.25,NA,67.75,NA,NA,NA,67.25
2005,3,8,86.625,113.5,90.5,92.75,114.375,46.25,NA,75.25,NA,NA,NA,82.75
2005,3,9,68.75,94.5,103.625,97.875,91.375,30,NA,83.5,NA,NA,NA,76.75
2005,3,10,183.25,186.125,144.25,157,192.25,70.75,NA,165.5,NA,NA,NA,103.75
2005,3,11,106.75,133,142.875,117.5,134.125,40.75,NA,105.625,NA,NA,NA,95.75
2005,3,12,138.75,157.5,167.75,NA,158.625,55.5,NA,121.5,NA,NA,NA,99
2005,3,13,102.125,98.75,100.75,NA,105.625,48.25,NA,81.375,NA,NA,NA,72.875
2005,3,14,40.625,39,36,48.5,46.875,13.4285714285714,NA,29,NA,NA,NA,43
2005,3,15,25.8333333333333,24.2857142857143,17.875,26.4285714285714,26.25,8.57142857142857,NA,17,NA,NA,NA,29
2005,3,16,22.5,15.75,11.25,25.125,27,3.875,NA,17.25,NA,NA,NA,23.375
2005,3,17,43,49.75,51.25,43.75,67.375,9.125,NA,39,NA,NA,NA,42.125
2005,3,18,33.875,36.1428571428571,50.125,38.75,NA,NA,NA,34.375,NA,NA,NA,31.25
2005,3,19,68.5,85.5,84.75,97.75,79.6,5.125,NA,69.875,NA,NA,NA,68.625
2005,3,20,101.125,121.125,69.5,120.857142857143,132,15.25,NA,79.375,NA,NA,NA,82.625
2005,3,21,30.5,26,31.25,30.625,27.8333333333333,NA,NA,26,NA,NA,NA,32.375
2005,3,22,29.625,27.8333333333333,31.75,36.75,20.75,NA,NA,31.875,NA,NA,NA,37.125
2005,3,23,45.875,50.75,56.625,57.875,47,NA,NA,44.25,NA,NA,NA,53.875
2005,3,24,25.5,20.875,23,29.8571428571429,23.625,NA,NA,22.5714285714286,NA,NA,NA,7.14285714285714
2005,3,25,31.125,31.75,22.7142857142857,44,28.375,7.375,NA,29.875,NA,NA,NA,17.25
2005,3,26,29.625,33.25,23.5,45.5,33,8.25,NA,26.875,NA,NA,NA,17.75
2005,3,27,33.75,41.625,27,55.625,35.25,11.125,NA,36.75,NA,NA,NA,23.375
2005,3,28,33.5,53.125,27.875,56,41.125,14.75,NA,36.375,NA,NA,NA,29.625
2005,3,29,69.625,80,80,69.875,78.75,17.25,NA,62.5,NA,NA,NA,54.375
2005,3,30,57.375,68.75,68.5,70.625,62.375,17.75,NA,51,NA,NA,NA,57.375
2005,3,31,94.75,124.25,66.625,107.375,122.25,71.375,NA,71.375,NA,NA,NA,65.625
2005,4,1,62.625,73.375,79.625,71.375,74.875,35.5,NA,66.25,NA,NA,NA,65.25
2005,4,2,63.75,72,69.25,76.75,57.25,48.875,NA,65.625,NA,NA,NA,60.125
2005,4,3,75.125,72.75,80.625,82.75,73.375,52.875,NA,68.25,NA,NA,NA,55.75
2005,4,4,35.75,40.125,46,48.625,36,18.5,NA,40.75,NA,NA,NA,34.5
2005,4,5,26.1428571428571,20.625,16.5714285714286,35,24.125,10,NA,25.8571428571429,NA,NA,NA,11
2005,4,6,51.5,77.8333333333333,38.625,79.125,68.625,50.5,NA,48,NA,NA,NA,44.25
2005,4,7,67.25,83.625,73.75,75,87,42.625,NA,60.625,NA,NA,NA,65.25
2005,4,8,93.875,100.25,131.875,109.6,108.125,58.5,NA,86,NA,NA,NA,73.75
2005,4,9,52.125,83.125,45,92.875,72.125,67.375,NA,49.875,NA,NA,NA,55.5
2005,4,10,93.5,122.375,64.375,NA,118,108,NA,75.875,NA,NA,NA,76
2005,4,11,78.625,92.25,89.125,NA,98.75,57.25,NA,65.875,NA,NA,NA,73
2005,4,12,92.625,119.5,157.25,111.25,125,62.5,NA,108.625,NA,NA,NA,77.75
2005,4,13,NA,77.375,59.75,83.125,77.875,49.375,NA,55.25,NA,NA,NA,43.875
2005,4,14,NA,115.25,112.125,104.25,116.875,58.125,NA,100.125,NA,NA,NA,82.125
2005,4,15,77.125,96.875,108.375,93.125,100.375,53.1666666666667,NA,85.5,NA,NA,NA,75.875
2005,4,16,54.75,75,63.875,87.625,82.875,49.25,NA,63.75,NA,NA,NA,50.125
2005,4,17,52.625,71.25,54.75,109.5,79.25,59,NA,68.75,NA,NA,NA,57.375
2005,4,18,49,82.625,46.25,95.125,NA,59.5,NA,56.125,NA,NA,NA,47
2005,4,19,90.75,105.75,116.625,101.5,NA,52.25,NA,94.5,NA,NA,NA,NA
